City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
411,Sao Joao Batista,BR,72.0,overcast clouds,-27.28,-48.85,INNOVARE SLIM SÃO JOÃO BATISTA
414,Ende,ID,74.91,broken clouds,-8.84,121.66,Dwi Putra Hotel - Ende
416,Cabedelo,BR,84.2,broken clouds,-6.98,-34.83,Lua Mansa Pousada
417,Cidahu,ID,82.0,broken clouds,-6.31,106.06,Pondok Pesantren Modern Darussalam Pandeglang
419,Cockburn Town,TC,84.2,broken clouds,21.46,-71.14,Osprey Beach Hotel
420,Morondava,MG,72.63,clear sky,-20.28,44.28,La Case Bambou
424,Kloulklubed,PW,77.0,overcast clouds,7.04,134.26,Storyboard Beach Resort
427,Qui Nhon,VN,80.38,overcast clouds,13.77,109.23,Khách sạn Hải Âu Quy Nhơn - Seagull Hotel
428,Saint-Francois,FR,75.2,broken clouds,46.42,3.91,Manoir Du Bonheur
435,Waw,SS,74.86,light rain,7.7,28.0,Universal Gab Hotel
436,Oussouye,SN,82.4,broken clouds,12.48,-16.55,Auberge du Routard
439,South Lake Tahoe,US,79.0,clear sky,38.93,-119.98,Tahoe Lakeshore Lodge & Spa
441,Ena,JP,80.01,scattered clouds,35.45,137.41,Enakyo Grand Hotel
445,Jitotol,MX,78.8,broken clouds,17.03,-92.87,Cascadas De San Martin
450,Belaya Glina,RU,81.82,overcast clouds,46.07,40.86,"Gostinitsa ""U Zhory"""
452,Takoradi,GH,77.54,overcast clouds,4.88,-1.76,Raybow International Hotel
453,Kailua,US,78.8,overcast clouds,21.4,-157.74,Sheffield House Bed & Breakfast
456,Darab,IR,83.08,clear sky,28.75,54.54,Naghshe shapoor Hotel
458,Qingyuan,CN,86.0,broken clouds,23.7,113.03,Guojin Commercial Hotel
459,Tanete,ID,74.43,overcast clouds,-3.94,119.78,Wisma Tri Multi
461,Arcachon,FR,75.2,broken clouds,44.59,-1.05,Hôtel All Suites Le Teich
462,Carroll,US,75.99,clear sky,39.55,-77.02,Best Western Westminster Hotel
463,Praia,CV,75.2,broken clouds,14.92,-23.51,LT Aparthotel
465,San Joaquin,VE,84.25,clear sky,10.26,-67.79,"Rancho (Hacienda) ""La Quinta"""
467,Santa Barbara,US,95.0,haze,34.42,-119.7,Kimpton Canary Hotel
468,Valea Ierii,RO,73.4,few clouds,46.65,23.35,Pensiunea Lara & Mara
469,Tepalcatepec,MX,84.92,light rain,19.18,-102.85,Hotel Campestre
470,Erdemli,TR,81.9,clear sky,36.6,34.31,Denizkumu Hotel
471,Hirara,JP,81.86,light rain,24.8,125.28,Hotel Atoll Emerald Miyakojima
475,Shaunavon,CA,76.77,scattered clouds,49.65,-108.42,Bear's Den Lodge
477,Madingou,CG,91.63,few clouds,-4.15,13.55,HOTEL KIM ELISA
480,Blairmore,CA,78.01,clear sky,49.6,-114.44,Highwood Motel
483,Bonthe,SL,80.49,broken clouds,7.53,-12.51,Bonthe Holiday Village
484,Kongolo,CD,85.87,clear sky,-5.38,27.0,Hôtel Bouger Faire Bouger Rj Kanierra
485,Enshi,CN,72.37,overcast clouds,30.3,109.48,Moevenpick Enshi
487,Frontera,MX,75.2,broken clouds,26.93,-101.45,Fiesta Inn Monclova
488,Ben Tre,VN,78.04,overcast clouds,10.23,106.38,bentre kiwi oasis hotel company ltd
491,Nakhon Phanom,TH,78.64,light rain,17.41,104.78,The River Hotel Nakhonphanom
495,Ituango,CO,77.97,light rain,7.17,-75.76,HOTEL LA CASONA ITUANGO
496,Manzanillo,CU,88.61,clear sky,20.34,-77.12,Adrian & Tonia
499,Daru,PG,76.68,light rain,-9.08,143.21,New century hotel
501,Weinan,CN,75.0,overcast clouds,34.5,109.51,Thank Inn Chain Hotel shanxi weinan linwei district jiefang road
502,Hoi An,VN,80.6,scattered clouds,15.88,108.33,Belle Maison Hadana Hoi An Resort & Spa managed by H&K Hospitality
503,Pasighat,IN,77.23,light rain,28.07,95.33,Siang Guest House
506,Abu Kamal,SY,88.77,clear sky,34.45,40.92,محطة التلفاز
512,Bacolod,PH,79.57,light rain,10.67,122.95,Planta Hotel & Residences
514,Gravelbourg,CA,79.57,clear sky,49.88,-106.55,Historic Bishops Residence Bed & Breakfast
515,Goya,AR,71.17,scattered clouds,-29.14,-59.26,Apart Costanera
516,Bani,DO,89.6,scattered clouds,18.28,-70.33,Hospedaje Henriquez
521,Mancio Lima,BR,89.6,few clouds,-7.61,-72.9,Hotel e Distribuidora Voyage
523,Kontagora,NG,77.04,moderate rain,10.4,5.47,City Gate Inn
524,Tautira,PF,75.2,broken clouds,-17.73,-149.15,Pension Oaoa
525,Miranda,CO,86.0,scattered clouds,3.25,-76.23,Parqueadero toño lasso
527,Gustavo Diaz Ordaz,MX,73.4,light rain,26.23,-98.58,Chikas En El Hotel
