City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
183,Yellowknife,CA,62.46,-114.35,48.99,75,75,11.41,broken clouds,2020-09-05 17:02:28
184,San Patricio,MX,19.22,-104.7,80.6,83,90,11.74,overcast clouds,2020-09-05 17:02:28
185,Buala,SB,-8.14,159.59,79.74,83,53,8.59,light rain,2020-09-05 17:02:28
186,Saint-Augustin,CA,51.23,-58.65,69.06,41,19,20.24,few clouds,2020-09-05 17:02:29
187,Nanortalik,GL,60.14,-45.24,48.88,88,95,12.55,overcast clouds,2020-09-05 17:02:29
188,Vestmannaeyjar,IS,63.44,-20.27,51.8,62,11,11.41,few clouds,2020-09-05 17:02:29
189,Bolivar,US,37.61,-93.41,82.99,71,22,5.57,light rain,2020-09-05 17:02:29
190,Rutland,US,43.62,-73.02,70.0,52,1,10.29,clear sky,2020-09-05 16:58:25
191,Victoria,HK,22.29,114.16,82.0,88,23,1.99,light rain,2020-09-05 16:59:19
192,Shakawe,BW,-18.37,21.85,75.22,18,0,5.99,clear sky,2020-09-05 17:02:30
193,Tashigang,BT,27.33,91.55,69.64,73,91,0.63,overcast clouds,2020-09-05 17:02:30
194,Catacaos,PE,-5.27,-80.68,80.74,37,4,8.66,clear sky,2020-09-05 17:02:30
195,Novyy Rogachik,RU,48.68,44.06,69.8,28,99,8.95,overcast clouds,2020-09-05 17:02:30
196,Luanda,AO,-8.84,13.23,73.4,78,40,6.93,scattered clouds,2020-09-05 17:02:16
197,Udachnyy,RU,66.42,112.4,44.6,81,90,2.24,overcast clouds,2020-09-05 17:02:31
198,Hilo,US,19.73,-155.09,73.4,83,40,1.19,scattered clouds,2020-09-05 17:02:31
199,Ketchikan,US,55.34,-131.65,55.4,100,75,3.36,broken clouds,2020-09-05 17:02:31
200,Kiunga,PG,-6.12,141.29,72.73,98,100,1.72,light rain,2020-09-05 17:02:32
201,Oranjestad,AW,12.52,-70.03,89.6,62,40,19.46,scattered clouds,2020-09-05 16:58:30
202,Saint Anthony,US,45.02,-93.22,75.0,46,1,6.17,clear sky,2020-09-05 17:02:32
203,Huangzhou,CN,30.45,114.8,78.8,74,84,4.47,broken clouds,2020-09-05 17:02:32
204,Leningradskiy,RU,69.38,178.42,32.68,94,59,4.27,broken clouds,2020-09-05 17:02:33
205,San Cristobal,VE,7.77,-72.22,89.6,55,20,8.05,few clouds,2020-09-05 17:02:33
206,Montemor-O-Novo,PT,38.65,-8.21,97.0,23,0,4.7,clear sky,2020-09-05 17:02:33
207,Asau,RO,46.43,26.4,64.99,82,40,3.62,scattered clouds,2020-09-05 17:02:33
208,Kamenka,RU,51.32,42.77,66.0,37,100,10.42,overcast clouds,2020-09-05 17:02:33
209,Khatanga,RU,71.97,102.5,37.63,79,96,8.46,overcast clouds,2020-09-05 17:02:34
210,Mbandaka,CD,0.05,18.26,75.31,85,100,5.53,overcast clouds,2020-09-05 17:02:35
211,Tuatapere,NZ,-46.13,167.68,45.0,72,40,11.01,scattered clouds,2020-09-05 17:02:35
212,Balkanabat,TM,39.51,54.37,83.88,22,25,5.21,scattered clouds,2020-09-05 17:02:36
213,Dingle,PH,11.0,122.67,77.52,90,98,2.15,overcast clouds,2020-09-05 17:02:36
214,Eenhana,NA,-17.47,16.33,93.2,14,0,4.7,clear sky,2020-09-05 17:02:36
215,Guarapari,BR,-20.67,-40.5,81.0,71,0,8.01,clear sky,2020-09-05 17:02:36
216,Harbour Breton,CA,47.48,-55.8,69.01,100,99,10.58,overcast clouds,2020-09-05 17:02:37
217,Dotnuva,LT,55.35,23.9,64.4,77,90,8.05,light intensity shower rain,2020-09-05 17:02:37
218,Kalemie,CD,-5.95,29.19,74.79,56,0,4.03,clear sky,2020-09-05 17:02:37
219,Ilulissat,GL,69.22,-51.1,39.2,80,75,6.93,broken clouds,2020-09-05 17:02:37
220,Constitucion,CL,-35.33,-72.42,55.42,71,85,10.85,overcast clouds,2020-09-05 17:02:38
221,Hasaki,JP,35.73,140.83,77.0,94,75,6.93,light intensity shower rain,2020-09-05 17:02:38
222,Longyearbyen,SJ,78.22,15.64,42.8,100,90,2.24,light intensity drizzle,2020-09-05 17:02:38
223,Hervey Bay,AU,-25.3,152.85,62.01,88,64,4.0,broken clouds,2020-09-05 16:59:08
224,Egvekinot,RU,66.32,-179.17,35.22,86,80,2.39,broken clouds,2020-09-05 17:02:38
225,Ormara,PK,25.21,64.64,81.36,84,0,14.43,clear sky,2020-09-05 17:02:39
226,Singapore,SG,1.29,103.85,78.8,88,40,1.12,scattered clouds,2020-09-05 16:58:03
227,Rorvik,NO,64.86,11.24,55.26,77,88,11.83,overcast clouds,2020-09-05 17:02:39
228,Thompson,CA,55.74,-97.86,53.6,58,20,6.93,few clouds,2020-09-05 17:02:39
229,Mapiripan,CO,2.89,-72.13,86.95,65,22,1.01,moderate rain,2020-09-05 17:02:39
230,Lagos,NG,6.58,3.75,76.69,83,94,9.71,overcast clouds,2020-09-05 17:01:08
231,Henties Bay,NA,-22.12,14.28,59.0,78,4,8.99,clear sky,2020-09-05 17:02:40
232,Vao,NC,-22.67,167.48,69.28,74,56,22.01,broken clouds,2020-09-05 17:02:40
233,Torbay,CA,47.67,-52.73,77.0,69,75,24.16,broken clouds,2020-09-05 17:02:40
234,Chokurdakh,RU,70.63,147.92,40.57,70,100,10.36,overcast clouds,2020-09-05 17:02:41
235,Beloha,MG,-25.17,45.05,63.73,71,6,16.62,clear sky,2020-09-05 17:02:41
236,Kedrovyy,RU,56.17,91.82,37.4,93,0,2.24,clear sky,2020-09-05 17:02:41
